provider_name,status,risk_tier,primary_asn,additional_asns,known_prefixes,country_registration,country_operations,corporate_entity,aliases,parent_entity,upstream_providers,downstream_of,sanctions_designations,key_personnel,associated_threat_actors,associated_malware,operational_patterns,identification_signals,first_observed,last_updated,rf_threat_density_score,sources,notes,description
Dabai Guarantee,active,T2-High Risk (Financial Enabler),,,,China (Telegram-based),Southeast Asia / China,Dabai Guarantee,大白担保; @DBTM301,,,,,,Chinese-language scam-compound ecosystem,MaaS; deepfake tooling; KYC-bypass services,Guarantee/escrow marketplace; Money-laundering facilitation,Telegram guarantee marketplace; Huione-successor pattern,2024-12,2026-09-25,,RF-GUARANTEE-2026; OFAC-XINBI-2026,"Recorded Future/Insikt: major Chinese-language guarantee (danbao) Telegram marketplace resembling the defunct Huione Guarantee, with thousands of thematic channels (overseas phishing, laundering, 'sweeping' goods in Japan and South Korea) and a search bot. The RF report appears to date from about April 2026 (the relaying digest is dated 2026-04-23), not February. Reported emergence ~Dec 2024 and ~19,225 members in its largest group are unverified. Flare counts more than 30 marketplaces that emerged after Huione Guarantee ceased operations in May 2025; Xinbi (disrupted by the US on 2026-09-09) is the largest of the successors.",Chinese-language Telegram guarantee/escrow marketplace and laundering facilitator; Huione successor.
Tudou Guarantee,flagged,T2-High Risk (Financial Enabler),,,,Cambodia / Telegram-based,Southeast Asia,Tudou Guarantee,Potato; 土豆担保,Huione / Haowang Guarantee (announced a stake in Dec 2024; 30% figure unverified),,,,,,,Guarantee/escrow marketplace; Money-laundering facilitation; Public fraud-market activity ceased Jan 2026,3rd-largest illicit marketplace; Admin-wallet collapse after Chen Zhi arrest,,2026-09-25,,ELLIPTIC-TUDOU; RF-GUARANTEE-2026; OFAC-HUIONE-PRINCE; OFAC-PRINCE-2025,"Huione's designated successor: in December 2024 Haowang (ex-Huione) Guarantee announced it was buying a stake in Tudou (FinCEN; the 30% figure is unverified). Processed >$12B - the third-largest illicit marketplace ever (Elliptic). In January 2026, after Prince Group chairman Chen Zhi was arrested in Cambodia and extradited to China (reported 2026-01-07), Tudou effectively ceased transactions through its public Telegram groups and admin-wallet activity collapsed; gambling operations continue and Elliptic says it remains to be seen whether this is a full shutdown or a pivot. Status corrected dissolved -> flagged on 2026-09-25 (no legal dissolution documented).","Telegram guarantee marketplace for the SEA scam economy; Huione successor, wound down Jan 2026."
H-Pay Service PLC,flagged,T2-High Risk (Financial Enabler),,,,Cambodia,Cambodia,H-Pay Service PLC,Huione Pay successor,Huione Group,,,"FinCEN proposed rule (Federal Register 2026-12794, published June 25 2026) adding H-Pay and any successor to the Huione Group Section 311 special measure - a proposal, not a final rule",,,,Successor facilitator; Inherited Huione Pay branches/customers/branding,Named FinCEN successor facilitator; Huione-ecosystem continuity,2026,2026-09-25,,OFAC-HUIONE-PRINCE; FINCEN-HPAY-2026,"FinCEN (announced 2026-06-23 with the DOJ Huione cloud-account seizure and Prince Group designations) proposed amending its Oct 2025 Huione Group Section 311 final rule to cover Cambodia-based H-Pay Service PLC (reg. no. 00074959) and 'any successor entity', to stop Huione circumventing the cut-off. The comment period was extended in July 2026 after a portal outage; the rule is not yet final. FinCEN notes the National Bank of Cambodia revoked H-Pay's payment licence on 2026-04-10.",Cambodian successor facilitator to the shut-down Huione Pay laundering operation.
Asocks,seized,T2-High Risk (Anonymization/Proxy Enabler),,,IOC IPs (not Asocks-owned ranges): 205.198.91.136; 205.198.91.155 (Cogent AS174); 194.147.16.244 (Catixs AS48266),Unknown,Netherlands (servers); global botnet,,asocks.com; LVCHA VPN-linked,,,,,,"PROXYLIB SDK apps (HUMAN, 2024)",Residential-proxy botnet (17M+ devices); malicious SDK enrollment,Residential-proxy / traffic-obfuscation enabler; Covert device enrollment,LE-disrupted (NCSC-NL May 2026); Clearnet storefront persists; Silent Push IOC cluster,2024,2026-09-25,,NCSC-NL-ASOCKS; SILENTPUSH-CHINESEVPN; HUMAN-PROXYLIB-2024,"Residential-proxy network (asocks.com; proxies sold at $5-15/month). On 2026-05-28 Dutch police and NCSC-NL announced the takedown of a botnet of at least 17 million infected devices whose backend ran on more than 200 servers in the Netherlands; police seized a subset of those servers from a hosting provider, which then took the botnet offline. Authorities did not name the service - NL Times reported it was Asocks (name-linkage caveat). HUMAN Satori (Mar 2024) believed PROXYLIB apps were monetized through Asocks. Silent Push tied the Mandarin-language LVCHA VPN (lvcha.in) to residential-proxy IOCs; the specific Asocks-IP tie is not in the available summary. Corrections 2026-09-25: AS48266 is Catixs Ltd, an ordinary hosting provider, not an Asocks ASN (removed as primary_asn); 205.198.91.x is Cogent space; the '~163 countries' figure belongs to SocksEscort. Storefront reportedly remained live after the seizure.",Malicious residential-proxy / anonymity-infrastructure TAE built on covertly infected devices; LE-disrupted May 2026 (Asocks attribution is press-sourced).
Datavice MCHJ,sanctioned,T1-Confirmed BPH,,,,Uzbekistan,Uzbekistan (Tashkent),Datavice MCHJ,Aeza expansion entity,Aeza Group LLC (linked to),,Aeza Group LLC,OFAC Nov 19 2025 (E.O. 13694; CAATSA-RUSSIA; CYBER4; Linked To Aeza Group LLC); NOT UK-designated,,,,Sanctions-evasion vehicle; Corporate shell,Shell company structure; Sanctioned; Aeza-linked; short corporate history,2025,2026-09-25,,OFAC-MEDIALAND,"Uzbekistan-registered (Tashkent) Aeza expansion entity. OFAC SDN record: established 2025-07-03; Tax ID 312252645; Business Registration 2868352; address 3 Irrigator Massive, Hamid Olimjon MFY, Tashkent; programs CYBER4 and CAATSA-RUSSIA; 'Linked To: AEZA GROUP LLC'. Designated 2025-11-19 alongside Hypercore Ltd, Smart Digital Ideas DOO, Maksim Makarov and Ilya Zakirov; absent from the UK's 19 Nov 2025 notices (OFAC-only). No ASN is stated in the designation; the registry lists a dark AS206336 as 'DATAVICE MCHJ', but per-ASN metadata still shows a previous holder, so treat it as an unverified lead.",OFAC-sanctioned Aeza expansion/front entity registered in Uzbekistan; designated alongside Hypercore in the Nov 2025 Aeza action.
First VPN Service (1VPNS),sanctioned,T1-Confirmed BPH (Anonymization/Proxy Enabler),,,,Unknown,Ukrainian administrator; infrastructure in ~27 countries,,1VPNS; First VPN Service,,,,"OFAC July 13 2026 (E.O. 13694 as amended, in furtherance of E.O. 14390; coordinated with UK FCDO, which did not co-designate)","Dmytro Rashevskyi (admin; aliases Maksim Sorin, Roman Chabanenko)",Ransomware operators (unnamed in designation),,Criminal VPN / anonymization enabler; No-log policy; Forum-advertised since 2014; Refuses LE cooperation,No KYC; Underground forum presence; Non-cooperative with LE; Sanctioned,2014,2026-09-25,,OFAC-1VPNS; EUROPOL-SAFFRON-2026,"OFAC-designated 2026-07-13 (sb0559) under E.O. 13694 as amended, in furtherance of E.O. 14390, for enabling ransomware attacks on US targets; the UK did not co-designate it. No-log criminal VPN advertised on cybercrime forums since 2014; ~32 exit nodes in ~27 countries used by at least 25 ransomware groups (FBI FLASH-20260521-001). Administrator Dmytro Rashevskyi (45, Ukrainian) used false identities (Maksim Sorin, Roman Chabanenko) to buy infrastructure. Belarusian cryptor seller Yegeniy Silayev was co-designated. The service was dismantled in Operation Saffron (19-20 May 2026, France- and Netherlands-led with Europol and Eurojust): 33 servers taken down, 1vpns domains seized and a suspected administrator arrested. SDN entries carry 5 addresses for the service and 8 for Rashevskyi.",OFAC-sanctioned criminal no-log VPN / anonymization enabler.
NetNut (Alarum Technologies),seized,T2-High Risk (Anonymization/Proxy Enabler),,,,Israel,Israel (parent); global residential-proxy exit nodes,Alarum Technologies Ltd (NASDAQ: ALAR),NetNut; Popa botnet (exit-node source),Alarum Technologies Ltd,,,,,"316 distinct threat-actor clusters (Google GTIG, June 2026)",Popa (proxy botnet),Commercial residential-proxy platform with botnet-sourced exit nodes; Traffic obfuscation; Covert device enrollment via SDKs,Residential-proxy exit nodes; Botnet-sourced infrastructure; LE-seized,2025-03,2026-09-25,,GTIG-NETNUT; KREBS-NETNUT; QURIUM-POPA-2026; KREBS-POPA-2026,"On 2026-07-02 the FBI seized hundreds of NetNut-linked domains (the seizure notice thanks Google, Lumen and Shadowserver) and Google disrupted the associated Popa botnet (at least 2 million hijacked smart TVs, streaming boxes and Android devices): Google disabled accounts used for C2 and set Play Protect to disable apps carrying NetNut SDKs. GTIG observed 316 distinct threat clusters using suspected NetNut exit nodes in a single week of June 2026. Popa was first flagged by QiAnXin XLab in March 2025 as an Android component of the Vo1d botnet and was tied to NetNut in June 2026 by Krebs, Qurium, Nokia Deepfield and Synthient. NetNut is operated by NASDAQ-listed Alarum Technologies (ALAR), which disputes the allegations and paused traffic on the affected network; its shares fell 23.6% after hours. Builds on Google's Jan 2026 IPIDEA disruption. Not sanctioned. Corrections 2026-09-25: IRS-CI involvement and a '~67% stock fall' were not supported by any source and were removed.",LE-seized commercial residential-proxy platform (Alarum/NASDAQ: ALAR) with botnet-sourced exit nodes.
SHANGXING TECH LIMITED,suspected,T2-High Risk,AS400619 (origin ASN; registry holder AROSSCLOUD INC. [US]),AS136452 (SHANGXING TECH LIMITED; no routes); AS151468 (SHANGXING TECH LIMITED; no routes),103.112.97.0/24,"Hong Kong (SHANGXING TECH LIMITED); United States (AROSSCLOUD INC., AS400619 registrant)",Hong Kong/US,SHANGXING TECH LIMITED (named in first-party finding; holds AS136452/AS151468); AROSSCLOUD INC. (AS400619 registrant),Fastmos Co Limited (AS138644; shares 191.124.0.0/16 with AS400619); AROSSCLOUD INC.; Zun Cloud Limited (AS140212),,,,,,China-nexus,Gshell C2; Vshell-adjacent; mass web-exploitation (Java memshell / CVE PoC),Multi-org HK reseller ASN; recurring China-nexus C2 + exploitation staging; SOCKS relays,Gshell default cert on tenants; mass-exploitation open directories; multiple org names on one ASN; GreyNoise React2Shell exploitation source; Cobalt Strike C2s (C2IntelFeeds); Not on Spamhaus ASN-DROP,2026-07-23,2026-09-25,,CV-GSHELL-2026-07; CV-OPENDIR-2026-09; GREYNOISE-REACT2SHELL-2026; C2INTELFEEDS; REGISTRY-SNAPSHOT-2026-09,"AS400619 is registered to AROSSCLOUD INC. (US) and originates 70 IPv4 prefixes (191,744 addresses), including 103.112.96.0/22 which covers the tracked 103.112.97.0/24; SHANGXING TECH LIMITED itself holds AS136452 and AS151468 (HK; neither announced), so the row name most likely reflects the inetnum holder while AROSSCLOUD owns the origin ASN (APNIC inetnum not yet confirmed). AS400619 and Fastmos (AS138644) tile 191.124.0.0/16 exactly between them - strong registry evidence of a shared reseller relationship. Hosts the July 2026 unreported Gshell C2 cluster (103.112.97.163/.199) and a Sept 2026 mass web-exploitation workspace (Fastmos :8889 - gen_targets/CVE-PoC/Java-memshell RCE-verify/k8s scan, 283KB target list) plus a second exploit box (AROSSCLOUD :9999) - first-party CrimsonVector open-directory hunts. Public corroboration: GreyNoise lists AS400619 among React2Shell exploitation sources (Jan 2026); C2IntelFeeds recorded Cobalt Strike C2s on AROSSCLOUD addresses (Aug-Sep 2026); community RAT feeds list several 103.112.97.x hosts. PEG TECH INC and 'AS Data HK' links are unverified.","HK reseller ASN, recurring China-nexus C2 and mass-exploitation host (SHANGXING/Fastmos/Arosscloud)."
HostZealot (HZ Hosting Ltd),active,T4-Gray Zone,AS59711 (HZ-EU-AS),AS202015 (HZ-US-AS); AS61046 (HZ-UK-AS); AS201525 (HZ-CA-AS),"Cl0p-used blocks: 79.141.160.0/22; 185.33.84.0/22; 193.42.38.0/24 (AS202015); 185.104.194.0/24; 185.117.88.0/22; 77.83.196.0/23; 185.80.52.0/22; 5.149.248.0/23 (AS59711); 185.81.112.0/23; 5.149.250.0/23 (AS61046); 79.141.166.0/23 (AS201525). Full footprint: 187 IPv4 prefixes / 79,360 addresses plus 2a01:8640::/32 (2026-09-25)",Bulgaria,"Bulgaria (Plovdiv HQ); servers marketed in ~20 locations (NL, DE, FR, PL, EE, SE, UK, US, CA, HK and others)",HZ HOSTING LTD. / ХЗ ХОСТИНГ ЕООД (EIK 203391232; VAT BG203391232),HostZealot; hostzealot.com; HZ-EU / HZ-UK / HZ-CA / HZ-US AS names; ORG-FNL9-RIPE,,,,,,Cl0p / TA505 / FIN11 (Lace Tempest); SideWinder APT; Akira and Fog ransomware affiliates; TrickBot/Conti operators (2020),Cl0p MFT mass-exploitation infrastructure (Accellion FTA; GoAnywhere; MOVEit; Cleo); DEWMODE webshell C2; DanaBot C2; SideWinder C2,Recurrent multi-actor abuse of commercial VPS; Country-coded multi-ASN split under one LIR; VPN/proxy and Tor-relay hosting; Crypto payment accepted,"Repeated vendor attribution of tenant infrastructure (CISA, Mandiant, Black Lotus Labs, Huntress, Kaspersky, Arctic Wolf, Team Cymru); Not on Spamhaus DROP or ASN-DROP; KYC and AUP present (counter-indicator); Vendor IOC geolocation (NL/US/CA/EE) differs from registry country (BG)",2020-07,2026-09-25,,TEAMCYMRU-CL0P-2026; CISA-AA23-158A; CISA-AR21-055A; MANDIANT-ACCELLION-2021; BLACKLOTUS-ACCELLION; HUNTRESS-CLEO-2024; KASPERSKY-SIDEWINDER-2024; BLACKBERRY-SIDEWINDER-2024; ARCTICWOLF-FOG-AKIRA-2024; BLACKLOTUS-DANABOT; CONTI-LEAKS-2020; WOODWARD-CLOP-SANKEY; BG-COMMREG-HZ; REGISTRY-SNAPSHOT-2026-09,"Plovdiv-based commercial VPS/dedicated/colocation host (HZ HOSTING LTD., an EOOD incorporated January 2015; its RIPE LIR org ORG-FNL9-RIPE dates from 2012) announcing 187 IPv4 prefixes through four country-coded ASNs registered in Bulgaria. The Swedish AS209668 'HZ-HOSTING AB' is unrelated. Cl0p's most-reused provider: HZ ranges appear in 4 of the 10 Cl0p mass-exploitation campaigns (Accellion FTA 2020-21, GoAnywhere 2023, MOVEit 2023, Cleo 2024), matching Team Cymru's 'most frequently observed provider ... four of nine' (Aug 2026); Eli Woodward's campaign dataset shows HZ in 5 of 8 campaigns, adding PTC Windchill (June 2026), which is not reproducible from the published Windchill IOCs. 21 distinct HZ addresses appear in A/B-grade IOC lists (CISA AA23-158A: 10 GoAnywhere and 9 MOVEit; CISA MAR AR21-055A and Black Lotus Labs: 2 Accellion; Huntress: 1 Cleo). Reuse is block-level: only 79.141.160.78 recurs exactly (GoAnywhere and MOVEit), while 79.141.160.0/22 spans Accellion -> GoAnywhere -> MOVEit (~23-27 months) and 5.149.248.0/23 spans MOVEit -> Cleo (~18 months). Other tenants: SideWinder (Kaspersky 2024: 'preference for HZ Hosting'), Akira/Fog SSL-VPN logins (Arctic Wolf 2024), a DanaBot C2 (Black Lotus Labs), a TrickBot/Conti server (2020 leaked chats), and APT28-attributed addresses in 79.141.161.x (maltrail). Counter-indicators: passport KYC demanded of a Conti operator (2020 chats); a 3-strike AUP; no Spamhaus DROP/ASN-DROP listing; reputation density comparable to mainstream hosts (many hits are Tor relays or VPN/proxy exits). The evidence shows repeated use by sophisticated tenants, not deliberate enablement - hence T4, not T3. Escalate on documented ignored abuse reports, forum BPH advertising, an above-baseline RF density score, or a substantiated ownership link to flagged personnel (Bulgarian registry aggregators disagree on the owner - verify in the Commercial Register). Use the Cl0p-used blocks for watchlisting and risk scoring rather than blanket blocking. See analysis/CL0P_HOSTZEALOT_REUSE.md.",Bulgarian commercial hosting brand (HZ Hosting Ltd; four country-coded ASNs) repeatedly chosen by Cl0p and other advanced actors; gray-zone rather than bulletproof on current evidence.
Chang Way Technologies Co. Limited,flagged,T2-High Risk,AS57523 (CHANGWAY-AS; no routes),AS59425 (HORIZONMSK-AS; no routes); AS207566 (LD007-AS; no routes); AS201738 (UFO TECHNOLOGIES LIMITED [GB]; Spamhaus-attributed via changway.hk); AS211663 (GALEON LLC [RU]; Spamhaus-attributed via changway.hk),45.93.20.0/24; 62.204.41.0/24; 91.240.118.0/24; 109.238.86.0/24; 185.11.61.0/24; 185.81.68.0/24; 193.178.158.0/24 (AS201738); 37.72.140.0/24 (AS211663) - all on Spamhaus DROP (2026-09),Hong Kong (Chang Way); shell ASN holders in the UK and Russia,Russia-linked (Proton66/PROSPERO cluster),Chang Way Technologies Co. Limited,changway.hk; CHANGWAY/HOSTWAY panel theme (my.31337.hk),,,,,,Proton66/PROSPERO tenants (IP shifts observed by SpiderLabs),,Rotating HK/UK/RU shell ASNs; Prefix hopping; Proton66-linked,Spamhaus ASN-DROP (five ASNs under changway.hk); announced prefixes on Spamhaus DROP; high ASN churn (4 delisted and 2 added within ~9 months),2024-11,2026-09-25,,SPAMHAUS-ASNDROP-2026; INTRINSEC-PROSPERO; TRUSTWAVE-PROSPERO; REGISTRY-SNAPSHOT-2026-09,"Hong Kong provider that Intrinsec (Nov 2024) calls a 'likely related' network of PROSPERO/Proton66; Trustwave SpiderLabs observed IP shifts from Proton66 to Chang Way ASNs and the my.31337.hk panel re-themed 'CHANGWAY/HOSTWAY'. Split out of the PROSPERO row (where it was listed as an alias) on 2026-09-25. Spamhaus ASN-DROP lists five ASNs under changway.hk: Chang Way's own AS57523, AS59425 and AS207566 (none announcing) plus the newly added AS201738 (UFO TECHNOLOGIES LIMITED, GB; 7 /24s, all on Spamhaus DROP) and AS211663 (GALEON LLC, RU; 1 /24). Four other changway.hk ASNs listed in Dec 2025 (AS57678, AS208312, AS209309, AS213355) have since been delisted - a rotating-shell pattern. The name similarity between 'UFO Technologies Limited' and Stark's UFO Hosting is not an established link. T2 on ASN-DROP inclusion plus Intrinsec and SpiderLabs reporting.",Hong Kong-anchored ring of rotating shell ASNs linked to the Proton66/PROSPERO bulletproof cluster; five ASNs on Spamhaus ASN-DROP.
UAB Host Baltic (serveroffer.lt),flagged,T2-High Risk (Upstream Enabler),AS209605 (HOSTBALTIC),"AS211872 (ALPHA-NETWORKS; no routes); AS135388 (RPL-HK, RMP Protection Limited [HK]; Spamhaus-attributed via serveroffer.lt)",141.98.8.0/22; 185.36.81.0/24 (AS209605); 93.152.223.0/24; 94.26.0.0/24 (AS135388),Lithuania,Lithuania; Hong Kong (sibling ASN),UAB Host Baltic,serveroffer.lt; HOSTBALTIC,,,,,,BtHoster/BTCloud (transit customer); Initial Access Brokers (via BtHoster masscan servers),,Upstream transit for BPH AS-leasing operators; HK sibling ASN,Spamhaus ASN-DROP (AS209605; AS135388 under serveroffer.lt); 5 of 6 announced prefixes overlap Spamhaus DROP; Upstream of T1 BtHoster,2025-06,2026-09-25,,INTRINSEC-BTHOSTER; SPAMHAUS-ASNDROP-2026; REGISTRY-SNAPSHOT-2026-09,"Lithuanian hoster named by Intrinsec (June 2025) as a transit provider of the BtHoster/BTCloud AS-leasing operation (see the BtHoster row). Spamhaus ASN-DROP lists AS209605 (serveroffer.lt; 6 announced prefixes including 141.98.8.0/22 and 185.36.81.0/24, 5 of them overlapping Spamhaus DROP) and a newly listed Hong Kong sibling, AS135388 'RPL-HK' (RMP Protection Limited; 93.152.223.0/24 and 94.26.0.0/24). A second Host Baltic registration, AS211872 'ALPHA-NETWORKS', has no routes. Added 2026-09-25 as an upstream enabler (ASN-DROP inclusion plus upstream of a T1 entity, two independent sources).",Lithuanian hoster and BtHoster transit provider; two serveroffer.lt ASNs on Spamhaus ASN-DROP.
VPSVAULT.HOST LTD,flagged,T2-High Risk,AS215925,,45.194.92.0/24 (on Spamhaus DROP); 45.198.224.0/24; 45.205.1.0/24,United Kingdom,Unknown,VPSVAULT.HOST LTD,vpsvault.host,,,,,,,"Mass proxy-scanning sweep (96 hosts; 10.1M connection attempts, Aug 2026)",Persistent mass-scanning source,Spamhaus ASN-DROP (AS215925 under vpsvault.host); GreyNoise weekly-brief notable ASN since 2025-12-15,2025-12,2026-09-25,,SPAMHAUS-ASNDROP-2026; GREYNOISE-WEEKLY-2026-08; REGISTRY-SNAPSHOT-2026-09,"UK-registered VPS provider whose AS215925 has been on Spamhaus ASN-DROP since at least Dec 2025. GreyNoise has carried it in its weekly brief since 2025-12-15; in the period to 2026-08-30 it produced 10,135,029 connection attempts in a 96-host proxy-scanning sweep. GreyNoise advises against an ASN-level block (shared tenancy). Announces 45.194.92.0/24 (on Spamhaus DROP), 45.198.224.0/24 and 45.205.1.0/24. Added 2026-09-25 at T2 under the taxonomy's ASN-DROP escalation rule (Spamhaus plus GreyNoise meet the two-source T2 evidence floor); no malware/C2 attribution yet.",UK VPS provider on Spamhaus ASN-DROP and a persistent GreyNoise-tracked mass-scanning source.
Feo Prest SRL,flagged,T2-High Risk,AS208137,,62.60.131.0/24; 213.177.179.0/24; 213.209.159.0/24 (on Spamhaus DROP),Romania,Romania,Feo Prest SRL,feoprest.info,,,,,,,ENV/secret-file crawling; CVE-2025-48927 exploitation attempts,Persistent high-volume scanning and exploitation source,Spamhaus ASN-DROP (AS208137 under feoprest.info); GreyNoise weekly-brief notable IPs since 2026-06-22,2026-06,2026-09-25,,SPAMHAUS-ASNDROP-2026; GREYNOISE-WEEKLY-2026-08; REGISTRY-SNAPSHOT-2026-09,"Romanian provider on Spamhaus ASN-DROP (feoprest.info). GreyNoise (weekly brief to 2026-08-30): 40 active hosts; 213.209.159.175, carried since the 2026-06-22 brief, produced 1.8M sessions and 23% of CVE-2025-48927 exploitation attempts; 213.209.159.154 and .175 were top-volume ENV crawlers. Announces 62.60.131.0/24, 213.177.179.0/24 and 213.209.159.0/24 (the last on Spamhaus DROP). Added 2026-09-25 at T2 under the taxonomy's ASN-DROP escalation rule (Spamhaus plus GreyNoise meet the two-source T2 evidence floor); no malware/C2 attribution yet.",Romanian provider on Spamhaus ASN-DROP hosting persistent high-volume scanning and exploitation sources.
QTFY (QScan / QTRouter),seized,T1-Confirmed BPH (Anonymization/Proxy Enabler),,,,China,China (Nanjing); global proxy/ORB nodes,Nanjing Xinjiuwei Network Technology Co. (employer of the QTFY operators),QTFY; QScan; QTRouter; qtproxy.xyz; Fast Labyrinth / QTProxy (Lumen tracking names),,,,"DOJ/FBI court-authorised seizure of QScan and QTRouter domains, Aug 26 2026",,PRC state-sponsored actors (MSS and PLA customers),QScan (IoT scanner and infector); QTRouter (obfuscation network),"State-enablement 'infrastructure quartermaster'; ORB network mixing compromised IoT, commercial proxy subscriptions and leased VPS",LE seizure; Commercial proxy-service nodes and leased VPS chained through Clash,,2026-09-25,,DOJ-QTFY-2026; LUMEN-QTFY-2026,"On 2026-08-26 DOJ and the FBI seized, under court authorisation, the domains hard-coded into QScan (an IoT scanner and infector) and QTRouter (an obfuscation network) run by the 'QTFY' technical-quartermaster group, whose staff work for Nanjing Xinjiuwei Network Technology Co. and whose customers include the MSS and PLA. QTRouter chained compromised IoT devices, bulk-bought Chinese commercial proxy subscriptions and leased VPSs through Clash, with admin servers at qtproxy.xyz; reported victims include NASA, the Federal Reserve, DOE, DOJ, HHS, NIH and the US Senate. Lumen Black Lotus Labs, which tracked the network as 'Fast Labyrinth'/'QTProxy', collaborated. A state-enablement proxy TAE showing commercial proxy supply feeding espionage ORB networks. No ASN of its own has been published.",PRC 'infrastructure quartermaster' proxy/ORB platform serving state hackers; domains seized by DOJ/FBI in Aug 2026.
IPIDEA residential-proxy network,exposed,T2-High Risk (Anonymization/Proxy Enabler),,,,Unknown,Global residential exit nodes,,"360 Proxy; 922 Proxy; ABC Proxy; Cherry Proxy; IP2World; Luna Proxy; PIA S5 Proxy; PY Proxy; SDKs: Castar, Earn, Hex, Packet SDK",,,,,,"550+ threat groups in one week (GTIG), reportedly including APT28, Sandworm and Volt Typhoon",BADBOX 2.0 (facilitated),Residential-proxy network built from SDK-enrolled and compromised devices; Multi-brand resale,"Private-sector disruption (Google GTIG, Jan 2026); SDK-based covert device enrollment",,2026-09-25,,GTIG-IPIDEA-2026,"On 2026-01-29 Google's Threat Intelligence Group announced legal action against IPIDEA's command domains, with Cloudflare, Spur and Lumen Black Lotus Labs, shrinking its device pool by millions; Play Protect now removes apps carrying IPIDEA SDKs. GTIG saw more than 550 threat groups using the network in a single week (Google's John Hultquist named APT28, Sandworm and Volt Typhoon among them); IPIDEA advertised 6.1M IPs updated daily. It is resold under at least eight brands and enrolled devices through the Castar, Earn, Hex and Packet SDKs; it also facilitated BADBOX 2.0. Part of the residential-proxy enforcement lineage 911 S5 -> Moonlander (5socks/Anyproxy) -> SocksEscort -> IPIDEA -> Asocks -> NetNut -> QTRouter. Operator identity and jurisdiction are unverified; not sanctioned. Status 'exposed' because the disruption was a private-sector legal action rather than a law-enforcement seizure.",Multi-brand residential-proxy network used by 550+ threat groups; disrupted by Google in Jan 2026.
